"Date(UTC)","UnixTimeStamp","Value (Wei)"
"3/11/2022","1646956800","948060587614"
"3/12/2022","1647043200","546408672190"
"3/13/2022","1647129600","631199035466"
"3/14/2022","1647216000","1040780642523"
"3/15/2022","1647302400","769156517629"
"3/16/2022","1647388800","719608312389"
"3/17/2022","1647475200","518007740282"
"3/18/2022","1647561600","346521039693"
"3/19/2022","1647648000","393267100205"
"3/20/2022","1647734400","256631639280"
"3/21/2022","1647820800","425709291891"
"3/22/2022","1647907200","596495919062"
"3/23/2022","1647993600","385295630577"
"3/24/2022","1648080000","685521045744"
"3/25/2022","1648166400","525063518571"
"3/26/2022","1648252800","360549578036"
"3/27/2022","1648339200","324953130260"
"3/28/2022","1648425600","408517551635"
"3/29/2022","1648512000","367887707939"
"3/30/2022","1648598400","377601319778"
"3/31/2022","1648684800","689064153591"
"4/1/2022","1648771200","557709020904"
"4/2/2022","1648857600","385323388308"
"4/3/2022","1648944000","447632505733"
"4/4/2022","1649030400","384186787038"
"4/5/2022","1649116800","414271441333"
"4/6/2022","1649203200","988288001469"
"4/7/2022","1649289600","469192034409"
"4/8/2022","1649376000","448875004121"
"4/9/2022","1649462400","363873757092"
"4/10/2022","1649548800","363918625869"
"4/11/2022","1649635200","600887329635"
"4/12/2022","1649721600","421840802725"
"4/13/2022","1649808000","528164541073"
"4/14/2022","1649894400","406518212340"
"4/15/2022","1649980800","404992884684"
"4/16/2022","1650067200","269837053830"
"4/17/2022","1650153600","303185654946"
"4/18/2022","1650240000","821025421127"
"4/19/2022","1650326400","543681830877"
"4/20/2022","1650412800","361164426445"
"4/21/2022","1650499200","527692635259"
"4/22/2022","1650585600","419550306755"
"4/23/2022","1650672000","276180098247"
"4/24/2022","1650758400","481956583962"
"4/25/2022","1650844800","805374771957"
"4/26/2022","1650931200","665987962230"
"4/27/2022","1651017600","485327684536"
"4/28/2022","1651104000","1049427754713"
"4/29/2022","1651190400","1934342328473"
"4/30/2022","1651276800","3811252322874"
"5/1/2022","1651363200","1374244928794"
"5/2/2022","1651449600","1132119229723"
"5/3/2022","1651536000","635052789365"
"5/4/2022","1651622400","596640089179"
"5/5/2022","1651708800","897551216914"
"5/6/2022","1651795200","694583152122"
"5/7/2022","1651881600","1148720864004"
"5/8/2022","1651968000","805405979872"
"5/9/2022","1652054400","2401436104748"
"5/10/2022","1652140800","1547179801649"
"5/11/2022","1652227200","9648261137979"
"5/12/2022","1652313600","8908513090652"
"5/13/2022","1652400000","5814465302427"
"5/14/2022","1652486400","2414817076388"
"5/15/2022","1652572800","1986615249514"
"5/16/2022","1652659200","2965051409635"
"5/17/2022","1652745600","1179518285093"
"5/18/2022","1652832000","1194160752542"
"5/19/2022","1652918400","1173254535289"
"5/20/2022","1653004800","900077823742"
"5/21/2022","1653091200","1286704599216"
"5/22/2022","1653177600","582048456015"
"5/23/2022","1653264000","872150212320"
"5/24/2022","1653350400","750851411606"
"5/25/2022","1653436800","404647775904"
"5/26/2022","1653523200","929203567086"
"5/27/2022","1653609600","767862059630"
"5/28/2022","1653696000","233875756359"
"5/29/2022","1653782400","154298978286"
"5/30/2022","1653868800","545527857239"
"5/31/2022","1653955200","343511104283"
"6/1/2022","1654041600","321575773434"
"6/2/2022","1654128000","240548925037"
"6/3/2022","1654214400","162256775890"
"6/4/2022","1654300800","173311743491"
"6/5/2022","1654387200","124561894587"
"6/6/2022","1654473600","454430910821"
"6/7/2022","1654560000","192081338920"
"6/8/2022","1654646400","208077906749"
"6/9/2022","1654732800","167061308372"
"6/10/2022","1654819200","432519352730"
"6/11/2022","1654905600","449795527642"
"6/12/2022","1654992000","3761711325660"
